,home,away,date,match_type,venue,time_of_match,toss,winner,man_of_match,outcome
299,Kings XI Punjab,Rajasthan Royals,"5th May, 2012",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Shane Watson,0
300,Mumbai Indians,Chennai Super Kings,"6th May, 2012",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Dwayne Smith,1
301,Royal Challengers Bangalore,Deccan Chargers,"6th May, 2012",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,1
302,Delhi Daredevils,Kolkata Knight Riders,"7th May, 2012",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Kolkata Knight Riders,Jacques Kallis,0
303,Pune Warriors,Rajasthan Royals,"8th May, 2012",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Pune Warriors,Rajasthan Royals,Shane Watson,0
304,Deccan Chargers,Kings XI Punjab,"8th May, 2012",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Deccan Chargers,Kings XI Punjab,Mandeep Singh,0
305,Mumbai Indians,Royal Challengers Bangalore,"9th May, 2012",league,"Wankhede Stadium, Mumbai",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Chris Gayle,0
306,Deccan Chargers,Delhi Daredevils,"10th May, 2012",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Deccan Chargers,Delhi Daredevils,David Warner,0
307,Rajasthan Royals,Chennai Super Kings,"10th May, 2012",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Ben Hilfenhaus,0
308,Pune Warriors,Royal Challengers Bangalore,"11th May, 2012",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Pune Warriors,Royal Challengers Bangalore,Chris Gayle,0
309,Kolkata Knight Riders,Mumbai Indians,"12th May, 2012",league,"Eden Gardens, Kolkata",Day/Night Match,Mumbai Indians,Mumbai Indians,Rohit Sharma,0
310,Chennai Super Kings,Delhi Daredevils,"12th May, 2012",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Ben Hilfenhaus,1
311,Rajasthan Royals,Pune Warriors,"13th May, 2012",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Ajit Chandila,1
312,Kings XI Punjab,Deccan Chargers,"13th May, 2012",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Deccan Chargers,Kings XI Punjab,David Hussey,1
313,Royal Challengers Bangalore,Mumbai Indians,"14th May, 2012",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Mumbai Indians,Mumbai Indians,Ambati Rayudu,0
314,Kolkata Knight Riders,Chennai Super Kings,"14th May, 2012",league,"Eden Gardens, Kolkata",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Michael Hussey,0
315,Delhi Daredevils,Kings XI Punjab,"15th May, 2012",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Kings XI Punjab,Delhi Daredevils,Umesh Yadav,1
316,Mumbai Indians,Kolkata Knight Riders,"16th May, 2012",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Kolkata Knight Riders,Sunil Narine,0
317,Kings XI Punjab,Chennai Super Kings,"17th May, 2012",league,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Adam Gilchrist,1
318,Delhi Daredevils,Royal Challengers Bangalore,"17th May, 2012",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Royal Challengers Bangalore,Chris Gayle,0
319,Deccan Chargers,Rajasthan Royals,"18th May, 2012",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Rajasthan Royals,Deccan Chargers,Dale Steyn,1
320,Kings XI Punjab,Delhi Daredevils,"19th May, 2012",league,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Umesh Yadav,0
321,Pune Warriors,Kolkata Knight Riders,"19th May, 2012",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Shakib Al Hasan,0
322,Deccan Chargers,Royal Challengers Bangalore,"20th May, 2012",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Royal Challengers Bangalore,Deccan Chargers,Dale Steyn,1
323,Rajasthan Royals,Mumbai Indians,"20th May, 2012",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Mumbai Indians,Dwayne Smith,0
324,Delhi Daredevils,Kolkata Knight Riders,"22nd May, 2012",knockout,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Yusuf Pathan,0
325,Chennai Super Kings,Mumbai Indians,"23rd May, 2012",knockout,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Mumbai Indians,Chennai Super Kings,M S Dhoni,1
326,Delhi Daredevils,Chennai Super Kings,"25th May, 2012",knockout,"MA Chidambaram Stadium, Chennai",Day/Night Match,Delhi Daredevils,Chennai Super Kings,Murali Vijay,0
327,Kolkata Knight Riders,Chennai Super Kings,"27th May, 2012",knockout,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Kolkata Knight Riders,Manvinder Bisla,1
328,Kolkata Knight Riders,Delhi Daredevils,"3rd April, 2013",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Sunil Narine,1
329,Royal Challengers Bangalore,Mumbai Indians,"4th April, 2013",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Mumbai Indians,Royal Challengers Bangalore,Chris Gayle,1
330,Sunrisers Hyderabad,Pune Warriors,"5th April, 2013",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Pune Warriors,Sunrisers Hyderabad,Amit Mishra,1
331,Delhi Daredevils,Rajasthan Royals,"6th April, 2013",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Rahul Dravid,0
332,Chennai Super Kings,Mumbai Indians,"6th April, 2013",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Mumbai Indians,Mumbai Indians,Kieron Pollard,0
333,Pune Warriors,Kings XI Punjab,"7th April, 2013",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Pune Warriors,Kings XI Punjab,Manan Vohra,0
334,Sunrisers Hyderabad,Royal Challengers Bangalore,"7th April, 2013",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Royal Challengers Bangalore,Sunrisers Hyderabad,Hanuma Vihari,1
335,Rajasthan Royals,Kolkata Knight Riders,"8th April, 2013",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Kolkata Knight Riders,Rajasthan Royals,Siddharth Trivedi,1
336,Royal Challengers Bangalore,Sunrisers Hyderabad,"9th April, 2013",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Sunrisers Hyderabad,Royal Challengers Bangalore,Virat Kohli,1
337,Mumbai Indians,Delhi Daredevils,"9th April, 2013",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Dinesh Karthik,1
338,Kings XI Punjab,Chennai Super Kings,"10th April, 2013",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Michael Hussey,0
339,Royal Challengers Bangalore,Kolkata Knight Riders,"11th April, 2013",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Chris Gayle,1
340,Pune Warriors,Rajasthan Royals,"11th April, 2013",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Rajasthan Royals,Pune Warriors,Aaron Finch,1
341,Delhi Daredevils,Sunrisers Hyderabad,"12th April, 2013",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Sunrisers Hyderabad,Amit Mishra,0
342,Mumbai Indians,Pune Warriors,"13th April, 2013",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Rohit Sharma,1
343,Chennai Super Kings,Royal Challengers Bangalore,"13th April, 2013",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Ravindra Jadeja,1
344,Kolkata Knight Riders,Sunrisers Hyderabad,"14th April, 2013",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Gautam Gambhir,1
345,Rajasthan Royals,Kings XI Punjab,"14th April, 2013",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Rajasthan Royals,James Faulkner,1
346,Chennai Super Kings,Pune Warriors,"15th April, 2013",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Pune Warriors,Pune Warriors,Steve Smith,0
347,Kings XI Punjab,Kolkata Knight Riders,"16th April, 2013",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kolkata Knight Riders,Kings XI Punjab,Manpreet Gony,1
348,Royal Challengers Bangalore,Delhi Daredevils,"16th April, 2013",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Virat Kohli,1
349,Pune Warriors,Sunrisers Hyderabad,"17th April, 2013",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Pune Warriors,Sunrisers Hyderabad,Amit Mishra,0
350,Rajasthan Royals,Mumbai Indians,"17th April, 2013",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Ajinkya Rahane,1
351,Chennai Super Kings,Delhi Daredevils,"18th April, 2013",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Michael Hussey,1
352,Sunrisers Hyderabad,Kings XI Punjab,"19th April, 2013",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Kings XI Punjab,Sunrisers Hyderabad,Hanuma Vihari,1
353,Kolkata Knight Riders,Chennai Super Kings,"20th April, 2013",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Chennai Super Kings,Ravindra Jadeja,0
354,Royal Challengers Bangalore,Rajasthan Royals,"20th April, 2013",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Vinay Kumar,1
355,Delhi Daredevils,Mumbai Indians,"21st April, 2013",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Mumbai Indians,Delhi Daredevils,Virender Sehwag,1
356,Kings XI Punjab,Pune Warriors,"21st April, 2013",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Kings XI Punjab,David Miller,1
357,Chennai Super Kings,Rajasthan Royals,"22nd April, 2013",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Rajasthan Royals,Chennai Super Kings,Michael Hussey,1
358,Royal Challengers Bangalore,Pune Warriors,"23rd April, 2013",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Pune Warriors,Royal Challengers Bangalore,Chris Gayle,1
359,Delhi Daredevils,Kings XI Punjab,"23rd April, 2013",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Harmeet Singh,0
360,Kolkata Knight Riders,Mumbai Indians,"24th April, 2013",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Mumbai Indians,Dwayne Smith,0
361,Chennai Super Kings,Sunrisers Hyderabad,"25th April, 2013",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Sunrisers Hyderabad,Chennai Super Kings,M S Dhoni,1
362,Kolkata Knight Riders,Kings XI Punjab,"26th April, 2013",league,"Eden Gardens, Kolkata",Day/Night Match,Kings XI Punjab,Kolkata Knight Riders,Jacques Kallis,1
363,Sunrisers Hyderabad,Rajasthan Royals,"27th April, 2013",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Sunrisers Hyderabad,Rajasthan Royals,James Faulkner,0
364,Mumbai Indians,Royal Challengers Bangalore,"27th April, 2013",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Dwayne Smith,1
365,Chennai Super Kings,Kolkata Knight Riders,"28th April, 2013",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Kolkata Knight Riders,Chennai Super Kings,Michael Hussey,1
366,Delhi Daredevils,Pune Warriors,"28th April, 2013",league,"Shaheed Veer Narayan Sing International Stadium, Raipur",Day/Night Match,Pune Warriors,Delhi Daredevils,David Warner,1
367,Rajasthan Royals,Royal Challengers Bangalore,"29th April, 2013",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Sanju Samson,1
368,Mumbai Indians,Kings XI Punjab,"29th April, 2013",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Rohit Sharma,1
369,Chennai Super Kings,Pune Warriors,"30th April, 2013",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Chennai Super Kings,Chennai Super Kings,M S Dhoni,1
370,Mumbai Indians,Sunrisers Hyderabad,"1st May, 2013",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Mumbai Indians,Sunrisers Hyderabad,Ishant Sharma,0
371,Delhi Daredevils,Kolkata Knight Riders,"1st May, 2013",league,"Shaheed Veer Narayan Sing International Stadium, Raipur",Day/Night Match,Kolkata Knight Riders,Delhi Daredevils,David Warner,1
372,Chennai Super Kings,Kings XI Punjab,"2nd May, 2013",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Suresh Raina,1
373,Pune Warriors,Royal Challengers Bangalore,"2nd May, 2013",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,0
374,Kolkata Knight Riders,Rajasthan Royals,"3rd May, 2013",league,"Eden Gardens, Kolkata",Day/Night Match,Rajasthan Royals,Kolkata Knight Riders,Yusuf Pathan,1
375,Sunrisers Hyderabad,Delhi Daredevils,"4th May, 2013",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Delhi Daredevils,Sunrisers Hyderabad,Daren Sammy,1
376,Mumbai Indians,Chennai Super Kings,"5th May, 2013",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Mitchell Johnson,1
377,Rajasthan Royals,Pune Warriors,"5th May, 2013",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Pune Warriors,Rajasthan Royals,Ajinkya Rahane,1
378,Kings XI Punjab,Royal Challengers Bangalore,"6th May, 2013",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Kings XI Punjab,David Miller,1
379,Rajasthan Royals,Delhi Daredevils,"7th May, 2013",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Delhi Daredevils,Rajasthan Royals,Ajinkya Rahane,1
380,Mumbai Indians,Kolkata Knight Riders,"7th May, 2013",league,"Wankhede Stadium, Mumbai",Day Match,Mumbai Indians,Mumbai Indians,Sachin Tendulkar,1
381,Sunrisers Hyderabad,Chennai Super Kings,"8th May, 2013",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Chennai Super Kings,Suresh Raina,0
382,Kings XI Punjab,Rajasthan Royals,"9th May, 2013",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Kevon Cooper,0
383,Pune Warriors,Kolkata Knight Riders,"9th May, 2013",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Gautam Gambhir,0
